,paper_id,author
290,47,"Brummer, E. C."
291,47,"Carelli, M."
292,47,"Nazzicari, N."
293,48,"Ong, Mikhaela"
294,48,"Chomistek, Nora"
295,48,"Dayment, Hanna"
296,48,"Goerzen, Wayne"
297,48,"Baines, Danica"
298,49,"Feng, Luwei"
299,49,"Zhang, Zhou"
300,49,"Ma, Yuchi"
301,49,"Du, Qingyun"
302,49,"Williams, Parker"
303,49,"Drewry, Jessica"
304,49,"Luck, Brian"
305,50,"Burnett, Vivianne F."
306,50,"Butler, Kym L."
307,50,"Hirth, Jeff R."
308,50,"Mitchell, Meredith L."
309,50,"Clark, Steve G."
310,50,"Nie, Zhongnan"
311,51,"Li, Shuo"
312,51,"Wan, Liqiang"
313,51,"Nie, Zhongnan"
314,51,"Li, Xianglin"
315,52,"Veliz-Vallejos, Debora F."
316,52,"Kawasaki, Akitomo"
317,52,"Mathesius, Ulrike"
318,53,"Djaman, Koffi"
319,53,"Smeal, Daniel"
320,53,"Koudahe, Komlan"
321,53,"Allen, Samuel"
322,54,"Wang, Hui"
323,54,"Zhou, Qingping"
324,54,"Mao, Peisheng"
325,55,"Olszewska, Marzenna"
326,55,"Grzegorczyk, Stefan"
327,55,"Grabowski, Kazimierz"
328,56,"Javaid, Tariq"
329,56,"Sadaqat, Hafeez Ahmad"
330,56,"Iqbal, Muhammad Ahsan"
331,56,"Wahid, Muhammad Ashfaq"
332,57,"Ribeiro, Bianca"
333,57,"Lacchini, Elia"
334,57,"Bicalho, Keylla U."
335,57,"Mertens, Jan"
336,57,"Arendt, Philipp"
337,57,"Vanden Bossche, Robin"
338,57,"Calegario, Gabriela"
339,57,"Gryffroy, Lore"
340,57,"Ceulemans, Evi"
341,57,"Buitink, Julia"
342,57,"Goossens, Alain"
343,57,"Pollier, Jacob"
344,58,"Ge, Jiamin"
345,58,"Fan, Jun"
346,58,"Yuan, Hongyou"
347,58,"Yang, Xueting"
348,58,"Jin, Mu"
349,58,"Wang, Sheng"
350,59,Hoang Thi Kim Hong
351,59,Pham Thi Hong Trang
352,59,Dang Thanh Long
353,59,Nguyen Thi Quynh Trang
354,60,"Xia, F. S."
355,60,"Wang, Y. C."
356,60,"Wang, F."
357,60,"Wang, C. C."
358,60,"Zhu, H. S."
359,60,"Liu, M."
360,60,"Huai, Y. M."
361,60,"Dong, K. H."
362,61,"Davin, Marie"
363,61,"Renard, Elisa"
364,61,"Lefebure, Kevin"
365,61,"Fauconnier, Marie-Laure"
366,61,"Colinet, Gilles"
367,62,"Trotta, Ronald J."
368,62,"Swanson, Kendall C."
369,63,"Jin, L."
370,63,"Chevaux, E."
371,63,"McAllister, T."
372,63,"Baah, J."
373,63,"Drouin, P."
374,63,"Wang, Y."
375,64,"Chapman, Kelly"
376,64,"Ivanovici, Ariel"
377,64,"Taleski, Michael"
378,64,"Sturrock, Craig J."
379,64,"Ng, Jason L. P."
380,64,"Mohd-Radzman, Nadiatul A."
381,64,"Frugier, Florian"
382,64,"Bennett, Malcolm J."
383,64,"Mathesius, Ulrike"
384,64,"Djordjevic, Michael A."
385,65,"Skiada, Vasiliki"
386,65,"Avramidou, Marianna"
387,65,"Bonfante, Paola"
388,65,"Genre, Andrea"
389,65,"Papadopoulou, Kalliope K."
390,66,"Xiong, Xue"
391,66,"Wei, Yu-qi"
392,66,"Chen, Ji-hui"
393,66,"Liu, Nan"
394,66,"Zhang, Ying-jun"
395,67,"Tava, Aldo"
396,67,"Biazzi, Elisa"
397,67,"Ronga, Domenico"
398,67,"Mella, Mariella"
399,67,"Doria, Filippo"
400,67,"Accogli, Rita"
401,67,"Argentieri, Maria Pia"
402,67,"Avato, Pinarosa"
403,68,"Helaoui, Sondes"
404,68,"Boughattas, Iteb"
405,68,"Hattab, Sabrine"
406,68,"Mkhinini, Marouane"
407,68,"Alphonse, Vanessa"
408,68,"Livet, Alexandre"
409,68,"Bousserrhine, Noureddine"
410,68,"Banni, Mohamed"
411,69,"Batnini, Marwa"
412,69,"Lopez-Gomez, Miguel"
413,69,"Palma, Francisco"
414,69,"Haddoudi, Imen"
415,69,"Kallala, Nadia"
416,69,"Zribi, Kais"
417,69,"Mrabet, Moncef"
418,69,"Mhadhbi, Haythem"
419,70,"Watts-Williams, Stephanie J."
420,70,Thi Diem Nguyen
421,70,"Kabiri, Shervin"
422,70,"Losic, Dusan"
423,70,"McLaughlin, Michael J."
424,71,"Escudero, Viviana"
425,71,"Abreu, Isidro"
426,71,"Tejada-Jimenez, Manuel"
427,71,"Rosa-Nunez, Elena"
428,71,"Quintana, Julia"
429,71,"Isabel Prieto, Rosa"
430,71,"Larue, Camille"
431,71,"Wen, Jiangqi"
432,71,"Villanova, Julie"
433,71,"Mysore, Kirankumar S."
434,71,"Arguello, Jose M."
435,71,"Castillo-Michel, Hiram"
436,71,"Imperial, Juan"
437,71,"Gonzalez-Guerrero, Manuel"
438,72,"Komaitis, Fotios"
439,72,"Kalliampakou, Katerina"
440,72,"Botou, Maria"
441,72,"Nikolaidis, Marios"
442,72,"Kalloniati, Chrysanthi"
443,72,"Skliros, Dimitrios"
444,72,"Du, Baoguo"
445,72,"Rennenberg, Heinz"
446,72,"Amoutzias, Grigoris D."
447,72,"Frillingos, Stathis"
448,72,"Flemetakis, Emmanouil"
449,73,"Carelli, Maria"
450,73,"Cabassi, Giovanni"
451,73,"Abbruscato, Pamela"
452,73,"Losini, Ilaria"
453,73,"Aggiato, Michele S."
454,73,"Biazzi, Elisa"
455,73,"Scotti, Carla"
456,74,"Wang, Shumin"
457,74,"Guo, Tao"
458,74,"Wang, Zhen"
459,74,"Kang, Junmei"
460,74,"Yang, Qingchuan"
461,74,"Shen, Yixin"
462,74,"Long, Ruicai"
463,75,"Shi, Lina"
464,75,"Guo, Yarong"
465,75,"Ning, Jiao"
466,75,"Lou, Shanning"
467,75,"Hou, Fujiang"
468,76,"Yu, Xiaocheng"
469,76,"Qin, Qiulin"
470,76,"Wu, Xia"
471,76,"Li, Dandan"
472,76,"Yang, Shengming"
473,77,"Hrbackova, Miroslava"
474,77,"Dvorak, Petr"
475,77,"Takac, Tomas"
476,77,"Ticha, Michaela"
477,77,"Luptovciak, Ivan"
478,77,"Samajova, Olga"
479,77,"Ovecka, Miroslav"
480,77,"Samaj, Jozef"
481,78,"Muir, S. K."
482,78,"Kennedy, A. J."
483,78,"Kearney, G."
484,78,"Hutton, P."
485,78,"Thompson, A. N."
486,78,"Vercoe, P."
487,78,"Hill, J."
488,79,"Kabtni, Souhir"
489,79,"Sdouga, Dorra"
490,79,"Rebey, Ines Bettaib"
491,79,"Save, Mattew"
492,79,"Trifi-Farah, Neila"
493,79,"Fauconnier, Marie-Laure"
494,79,"Marghali, Sonia"
495,80,"Chen, Haitao"
496,80,"Zeng, Yan"
497,80,"Yang, Yongzhi"
498,80,"Huang, Lingli"
499,80,"Tang, Bolin"
500,80,"Zhang, He"
501,80,"Hao, Fei"
502,80,"Li, Wei"
503,80,"Li, Youhan"
504,80,"Liu, Yanbin"
505,80,"Zhang, Xiaoshuang"
506,80,"Zhang, Ru"
507,80,"Zhang, Yesheng"
508,80,"Li, Yongxin"
509,80,"Wang, Kun"
510,80,"He, Hua"
511,80,"Wang, Zhongkai"
512,80,"Fan, Guangyi"
513,80,"Yang, Hui"
514,80,"Bao, Aike"
515,80,"Shang, Zhanhuan"
516,80,"Chen, Jianghua"
517,80,"Wang, Wen"
518,80,"Qiu, Qiang"
519,81,"Ma, Jiangtao"
520,81,"Qiu, Deyun"
521,81,"Gao, Hongwen"
522,81,"Wen, Hongyu"
523,81,"Wu, Yudi"
524,81,"Pang, Yongzhen"
525,81,"Wang, Xuemin"
526,81,"Qin, Yuchang"
527,82,"Sekula, Bartosz"
528,82,"Ruszkowski, Milosz"
529,82,"Dauter, Zbigniew"
530,83,"Wagle, Pradeep"
531,83,"Skaggs, Todd H."
532,83,"Gowda, Prasanna H."
533,83,"Northup, Brian K."
534,83,"Neel, James P. S."
535,84,"Bao, Guozhang"
536,84,"Tang, Wenyi"
537,84,"An, Qirui"
538,84,"Liu, Yaoxin"
539,84,"Tian, Jiaqi"
540,84,"Zhao, Nan"
541,84,"Zhu, Saning"
542,85,"He, Liangliang"
543,85,"Liu, Yu"
544,85,"He, Hua"
545,85,"Liu, Ye"
546,85,"Qi, Jinfeng"
547,85,"Zhang, Xiaojia"
548,85,"Li, Youhan"
549,85,"Mao, Yawen"
550,85,"Zhou, Shaoli"
551,85,"Zheng, Xiaoling"
552,85,"Bai, Quanzi"
553,85,"Zhao, Baolin"
554,85,"Wang, Dongfa"
555,85,"Wen, Jiangqi"
556,85,"Mysore, Kirankumar S."
557,85,"Tadege, Million"
558,85,"Xia, Yongmei"
559,85,"Chen, Jianghua"
560,86,"Shigei, Makoto"
561,86,"Ahren, Lutz"
562,86,"Hazaymeh, Ayat"
563,86,"Dalahmeh, Sahar S."
564,87,"Wang, Bing"
565,87,"Gao, Run"
566,87,"Wu, Zhe"
567,87,"Yu, Zhu"
568,88,"Li, Haiyun"
569,88,"Qiu, Yizhi"
570,88,"Yao, Tuo"
571,88,"Ma, Yachun"
572,88,"Zhang, Huirong"
573,88,"Yang, Xiaolei"
574,88,"Li, Changning"
575,89,"Kabtni, Souhir"
576,89,"Sdouga, Dorra"
577,89,"Hakim, Lamia"
578,89,"Trifi-Farah, Neila"
579,89,"Marghali, Sonia"
580,90,"Wu, Zhaoliang"
581,90,"Shu, Ting"
582,90,"Zhang, Mengwei"
583,90,"Liu, Wei"
584,91,"Kralj Cigic, Irena"
585,91,"Rupnik, Saso"
586,91,"Rijavec, Tjasa"
587,91,"Poklar Ulrih, Natasa"
588,91,"Cigic, Blaz"
589,92,"Su, Chao"
590,92,"Klein, Marie-Luise"
591,92,"Hernandez-Reyes, Casandra"
592,92,"Batzenschlager, Morgane"
593,92,"Ditengou, Franck Anicet"
594,92,"Lace, Beatrice"
595,92,"Keller, Jean"
596,92,"Delaux, Pierre-Marc"
597,92,"Ott, Thomas"
598,93,"Dhakal, Madhav"
599,93,"West, Charles P."
600,93,"Villalobos, Carlos"
601,93,"Brown, Philip"
602,93,"Green, Paul E."
603,94,"Lauriault, Leonard M."
604,94,"Marsalis, Mark A."
605,94,"Groesbeck, John D."
606,95,"Pedreira, Carlos G. S."
607,95,"Silva, Valdson J."
608,95,"Ferragine, Maria D. C."
609,95,"Bouton, Joseph H."
610,95,"Tonato, Felipe"
611,95,"Otani, Lyssa"
612,95,"Basto, Debora C."
613,96,"Dhakal, Madhav"
614,96,"West, Charles P."
615,96,"Villalobos, Carlos"
616,96,"Sarturi, Jhones O."
617,96,"Deb, Sanjit K."
618,97,"Acharya, Janam P."
619,97,"Lopez, Yolanda"
620,97,"Gouveia, Beatriz Tome"
621,97,"Oliveira, Ivone de Bem"
622,97,"Resende, Marcio F. R., Jr."
623,97,"Munoz, Patricio R."
624,97,"Rios, Esteban F."
625,98,"Andrzejewska, Jadwiga"
626,98,"Ignaczak, Stanislaw"
627,98,"Albrecht, Kenneth A."
628,99,"Kisvarga, Szilvia"
629,99,"Barna, Dome"
630,99,"Kovacs, Szilvia"
631,99,"Csatari, Gabor"
632,99,"Toth, Ibolya O."
633,99,"Fari, Miklos Gabor"
634,99,"Makleit, Peter"
635,99,"Veres, Szilvia"
636,99,"Alshaal, Tarek"
637,99,"Bakonyi, Nora"
638,100,"Wang, Siyun"
639,100,"Chen, Jessica"
640,100,"Wakeling, Carmen"
641,100,"Bach, Susan"
642,100,"Orban, Steve"
643,100,"Delaquis, Pascal"
644,101,"Ison, Kieran A. D."
645,101,"Benvenutti, Marcelo A."
646,101,"Mayer, David G."
647,101,"Quigley, Simon"
648,101,"Barber, David G."
649,102,"Ison, Kieran A. D."
650,102,"Benvenutti, Marcelo A."
651,102,"Mayer, David G."
652,102,"Quigley, Simon"
653,102,"Barber, David G."
654,103,"Zhang, Xuechun"
655,103,"Wang, Lucian"
656,103,"Li, Judith"
657,103,"Batstone, Rebecca, I"
658,103,"Frederickson, Megan E."
659,104,"Ulusoy, Esma"
660,104,"Derman, Serap"
661,104,"Erisen, Semiha"
662,105,"Chiriac, Elena Roxana"
663,105,"Chitescu, Carmen Lidia"
664,105,"Borda, Daniela"
665,105,"Lupoae, Mariana"
666,105,"Gird, Cerasela Elena"
667,105,"Geana, Elisabeta-Irina"
668,105,"Blaga, Giorgiana-Valentina"
669,105,"Boscencu, Rica"
670,106,"Michno, Jean-Michel"
671,106,"Liu, Junqi"
672,106,"Jeffers, Joseph R."
673,106,"Stupar, Robert M."
674,106,"Myers, Chad L."
675,107,"Schenck, Craig A."
676,107,"Westphal, Josh"
677,107,"Jayaraman, Dhileepkumar"
678,107,"Garcia, Kevin"
679,107,"Wen, Jiangqi"
680,107,"Mysore, Kirankumar S."
681,107,"Ane, Jean-Michel"
682,107,"Sumner, Lloyd W."
683,107,"Maeda, Hiroshi A."
684,108,"Ventouris, Yannis E."
685,108,"Tani, Eleni"
686,108,"Avramidou, Evangelia V."
687,108,"Abraham, Eleni M."
688,108,"Chorianopoulou, Styliani N."
689,108,"Vlachostergios, Dimitrios N."
690,108,"Papadopoulos, Georgios"
691,108,"Kapazoglou, Aliki"
692,109,"Jaaf, Shana"
693,109,"Batty, Brandon"
694,109,"Krueger, Angela"
695,109,"Estill, Charles T."
696,109,"Bionaz, Massimo"
697,110,"Boschiero, Clarissa"
698,110,"Dai, Xinbin"
699,110,"Lundquist, Peter Knut"
700,110,"Roy, Sonali"
701,110,"de Bang, Thomas Christian"
702,110,"Zhang, Shulan"
703,110,"Zhuang, Zhaohong"
704,110,"Torres-Jerez, Ivone"
705,110,"Udvardi, Michael K."
706,110,"Scheible, Wolf-Rudiger"
707,110,"Zhao, Patrick Xuechun"
708,111,"Medina, Cesar Augusto"
709,111,"Hawkins, Charles"
710,111,"Liu, Xiang-Ping"
711,111,"Peel, Michael"
712,111,"Yu, Long-Xi"
713,112,"Yu, Long-Xi"
714,112,"Zhang, Fan"
715,112,"Culma, Cesar Medina"
716,112,"Lin, Sen"
717,112,"Niu, Yi"
718,112,"Zhang, Tiejun"
719,112,"Yang, Qingchuan"
720,112,"Smith, Mark"
721,112,"Hu, Jinguo"
722,113,"Brambilla, Silvina"
723,113,"Soto, Gabriela"
724,113,"Odorizzi, Ariel"
725,113,"Arolfo, Valeria"
726,113,"McCormick, Wayne"
727,113,"Primo, Emiliano"
728,113,"Giordano, Walter"
729,113,"Jozefkowicz, Cintia"
730,113,"Ayub, Nicolas"
731,114,"dos Santos, Iara Goncalves"
732,114,"Teodoro, Paulo Eduardo"
733,114,"Cruz, Cosme Damiao"
734,114,"Ferreira, Reinaldo de Paula"
735,115,"Dong, Zhihao"
736,115,"Shao, Tao"
737,115,"Li, Junfeng"
738,115,"Yang, Lili"
739,115,"Yuan, Xianjun"
740,116,"Li, Chun"
741,116,"Beauchemin, Karen A."
742,116,"Yang, Wenzhu"
743,117,"Gruffat, D."
744,117,"Durand, D."
745,117,"Rivaroli, D."
746,117,"do Prado, I. N."
747,117,"Prache, S."
748,118,"Meng, Shujuan"
749,118,"Mo, Zunli"
750,118,"Li, Zhenliang"
751,118,"Guo, Ruibin"
752,118,"Liu, Nijuan"
753,119,"Gupta, Megha"
754,119,"Sharma, Gunjan"
755,119,"Saxena, Divya"
756,119,"Budhwar, Roli"
757,119,"Vasudevan, Madavan"
758,119,"Gupta, Varsha"
759,119,"Gupta, Arunima"
760,119,"Gupta, Rashi"
761,119,"Chandran, Divya"
762,120,"Li, Haiyun"
763,120,"Qiu, Yizhi"
764,120,"Yao, Tuo"
765,120,"Ma, Yachun"
766,120,"Zhang, Huirong"
767,120,"Yang, Xiaolei"
768,121,"Lu, Chaoyang"
769,121,"Jing, Yanyan"
770,121,"Zhang, Huan"
771,121,"Lee, Duu-Jong"
772,121,"Tahir, Nadeem"
773,121,"Zhang, Quanguo"
774,121,"Li, Wenzhe"
775,121,"Wang, Yi"
776,121,"Liang, Xiaoyu"
777,121,"Wang, Jian"
778,121,"Jin, Peng"
779,121,"Zhang, Xueting"
780,122,"Azarakhsh, Mahboobeh"
781,122,"Rumyantsev, Andrey M."
782,122,"Lebedeva, Maria A."
783,122,"Lutova, Lyudmila A."
784,123,"Li, Liang"
785,123,"Zhu, Pengyue"
786,123,"Wang, Xiaoyang"
787,123,"Zhang, Zhenhua"
788,124,"Berone, German D."
789,124,"Sardina, Maria C."
790,124,"Moot, Derrick J."
791,125,"An, Yimin"
792,125,"Yang, Xiao-Xue"
